Dataset,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Breast Wisconsin,0.6700,0.6600,0.6700,0.6700,0.6500,0.6400,0.6500,0.3000,0.6200,0.5700,0.7500,0.7500,0.7500,0.6700,0.6800,0.6700
Breast tissue,0.2600,0.2900,0.2800,0.2600,0.2900,0.3100,0.2900,0.1300,0.0900,0.0700,0.3000,0.2700,0.3000,0.2600,0.3000,0.2600
Ecoli,0.5000,0.5000,0.4600,0.4800,0.5000,0.4300,0.3700,0.5000,0.1900,0.1900,0.5000,0.4300,0.5100,0.5000,0.3500,0.4900
Glass,0.1800,0.2000,0.2400,0.2700,0.1800,0.1600,0.1600,0.1000,0.0900,0.1000,0.1500,0.1100,0.1500,0.2000,0.2000,0.1700
Haberman,-0.0000,0.0100,-0.0000,0.0100,-0.0100,0.0000,-0.0100,0.0000,-0.0000,0.0000,0.0100,-0.0100,0.0100,0.0100,-0.0000,0.0100
Ionosphere,0.1700,0.1600,0.1700,0.1700,0.2100,0.2100,0.2100,0.2200,0.2600,0.3100,0.1400,0.1400,0.1400,0.1000,0.1700,0.1700
Iris,0.6200,0.6200,0.8000,0.6200,0.6400,0.5400,0.6400,0.0800,0.1900,0.0800,0.6300,0.7000,0.6300,0.6100,0.6600,0.6100
Movement libras,0.3100,0.3100,0.3100,0.3000,0.3400,0.3300,0.3100,0.1700,0.1400,0.1800,0.3200,0.3400,0.3300,0.3100,0.3200,0.3000
Musk,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
Parkinsons,-0.1000,-0.1000,-0.1000,-0.1000,0.1600,0.1600,0.1600,0.0200,-0.0600,-0.0900,0.0900,0.0900,0.0900,-0.0700,-0.1000,-0.1000
Segmentation,0.4600,0.4500,0.4500,0.4600,0.5100,0.4600,0.5300,0.2800,0.4400,0.2700,0.3900,0.3900,0.3900,0.4900,0.5000,0.4700
Sonar all,-0.0000,-0.0000,-0.0000,-0.0000,0.0200,0.0200,0.0200,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
Spectf,-0.1000,-0.1000,-0.1000,-0.1000,-0.0500,-0.0800,-0.0800,0.0500,-0.0500,-0.0300,-0.0900,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
Transfusion,0.0500,0.0500,0.0500,0.0500,0.0100,0.0000,0.0100,0.0000,0.0100,0.0000,0.0600,0.0700,0.0600,0.0300,0.0200,0.0300
Vehicle,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,0.0700,0.1100,0.1100,0.1300,0.1000,0.1200,0.1200,0.0800,0.0600,0.0600
Vertebral column,0.2100,0.2400,0.2400,0.2500,0.2600,0.2600,0.2400,0.0600,0.0600,0.0400,0.2500,0.2500,0.2600,0.2200,0.2200,0.2500
Vowel context,0.1600,0.1600,0.1600,0.1800,0.1600,0.1300,0.1700,0.1600,0.0800,0.0900,0.1600,0.1400,0.1800,0.1600,0.1600,0.1800
Wine,0.9000,0.9000,0.8800,0.9000,0.9500,0.9300,0.9500,0.0400,0.1800,0.0200,0.8500,0.8600,0.8600,0.8000,0.8500,0.9000
Wine quality red,0.0600,0.0600,0.0600,0.0600,0.0500,0.0600,0.0600,0.0100,0.0400,0.0400,0.0700,0.0800,0.0700,0.0700,0.0700,0.0800
Yeast,0.1700,0.1700,0.0900,0.1200,0.1700,0.0600,0.1200,0.1700,0.0300,0.0400,0.1700,0.1000,0.1400,0.1700,0.1600,0.1700
